cargo,nivel,experiencia,ciudad,tipo_contrato,modalidad,sector,educacion,salario
Gerente de TI,Líder,12,Cali,Indefinido,Remoto,Finanzas,Especialización,27380000.0
Analista QA,Líder,10,Bucaramanga,Fijo,Híbrido,Manufactura,Profesional,12800000.0
Diseñador UI/UX,Líder,12,Bogotá,Fijo,Híbrido,Educación,Maestría,27260000.0
Gerente de TI,Semi-Senior,5,Barranquilla,Prestación de servicios,Híbrido,Manufactura,Especialización,6100000.0
DevOps,Senior,8,Barranquilla,Indefinido,Presencial,Educación,Especialización,9620000.0
Científico de Datos,Líder,8,Barranquilla,Fijo,Híbrido,Finanzas,Técnico,18400000.0
Científico de Datos,Junior,1,Barranquilla,Prestación de servicios,Presencial,Salud,Técnico,1970000.0
Arquitecto Cloud,Líder,9,Barranquilla,Fijo,Híbrido,Manufactura,Profesional,16250000.0
Científico de Datos,Líder,13,Bucaramanga,Prestación de servicios,Híbrido,Finanzas,Maestría,30400000.0
Diseñador UI/UX,Semi-Senior,4,Barranquilla,Indefinido,Híbrido,Educación,Maestría,6520000.0
Analista QA,Semi-Senior,4,Bucaramanga,Fijo,Remoto,Salud,Maestría,6370000.0
Gerente de TI,Junior,0,Bogotá,Prestación de servicios,Remoto,Tecnología,Maestría,5880000.0
Diseñador UI/UX,Líder,14,Cali,Prestación de servicios,Remoto,Retail,Especialización,19950000.0
Gerente de TI,Junior,1,Bogotá,Prestación de servicios,Presencial,Manufactura,Maestría,4260000.0
Analista QA,Senior,8,Cali,Prestación de servicios,Remoto,Retail,Técnico,7410000.0
DevOps,Senior,7,Bogotá,Prestación de servicios,Presencial,Finanzas,Profesional,15120000.0
Desarrollador Frontend,Junior,2,Bogotá,Indefinido,Híbrido,Educación,Especialización,3810000.0
Analista QA,Líder,12,Cali,Prestación de servicios,Híbrido,Salud,Profesional,23720000.0
Científico de Datos,Junior,1,Bogotá,Indefinido,Híbrido,Salud,Maestría,4620000.0
DevOps,Senior,6,Barranquilla,Indefinido,Presencial,Manufactura,Técnico,6240000.0
Arquitecto Cloud,Junior,2,Bogotá,Indefinido,Remoto,Retail,Especialización,3870000.0
DevOps,Junior,0,Cali,Fijo,Presencial,Retail,Profesional,1830000.0
Diseñador UI/UX,Líder,8,Barranquilla,Indefinido,Híbrido,Tecnología,Profesional,14380000.0
Arquitecto Cloud,Líder,8,Cali,Indefinido,Híbrido,Finanzas,Maestría,28200000.0
DevOps,Senior,9,Bogotá,Indefinido,Presencial,Manufactura,Profesional,8640000.0
DevOps,Líder,14,Barranquilla,Prestación de servicios,Presencial,Retail,Técnico,15080000.0
Gerente de TI,Semi-Senior,5,Bucaramanga,Fijo,Híbrido,Manufactura,Especialización,6140000.0
Arquitecto Cloud,Líder,10,Bucaramanga,Prestación de servicios,Presencial,Salud,Especialización,19130000.0
Científico de Datos,Senior,7,Barranquilla,Prestación de servicios,Remoto,Tecnología,Maestría,20390000.0
Arquitecto Cloud,Senior,8,Bogotá,Indefinido,Híbrido,Manufactura,Profesional,12330000.0
Desarrollador Backend,Senior,8,Medellín,Indefinido,Remoto,Finanzas,Técnico,12400000.0
Arquitecto Cloud,Junior,2,Cali,Prestación de servicios,Híbrido,Tecnología,Maestría,5490000.0
Desarrollador Frontend,Senior,5,Barranquilla,Fijo,Híbrido,Retail,Maestría,12850000.0
Analista QA,Semi-Senior,5,Medellín,Fijo,Híbrido,Retail,Maestría,7340000.0
Analista QA,Junior,0,Barranquilla,Indefinido,Híbrido,Educación,Maestría,3340000.0
Gerente de TI,Senior,5,Bogotá,Prestación de servicios,Presencial,Manufactura,Especialización,15680000.0
DevOps,Semi-Senior,3,Bucaramanga,Prestación de servicios,Híbrido,Retail,Especialización,4890000.0
Desarrollador Frontend,Senior,5,Bucaramanga,Indefinido,Presencial,Salud,Especialización,12050000.0
Diseñador UI/UX,Junior,0,Barranquilla,Fijo,Remoto,Manufactura,Técnico,2160000.0
Analista QA,Líder,12,Bogotá,Fijo,Remoto,Retail,Maestría,31890000.0
Arquitecto Cloud,Líder,14,Bucaramanga,Indefinido,Presencial,Tecnología,Maestría,20490000.0
Científico de Datos,Senior,6,Cali,Fijo,Híbrido,Manufactura,Especialización,12000000.0
Científico de Datos,Senior,7,Medellín,Fijo,Híbrido,Tecnología,Maestría,23540000.0
Diseñador UI/UX,Senior,9,Medellín,Prestación de servicios,Híbrido,Retail,Profesional,12150000.0
Arquitecto Cloud,Líder,12,Barranquilla,Fijo,Presencial,Tecnología,Maestría,31970000.0
Diseñador UI/UX,Semi-Senior,5,Barranquilla,Prestación de servicios,Presencial,Salud,Profesional,5830000.0
Científico de Datos,Líder,14,Cali,Indefinido,Híbrido,Manufactura,Técnico,15880000.0
Arquitecto Cloud,Líder,9,Cali,Indefinido,Remoto,Educación,Maestría,22360000.0
Desarrollador Frontend,Líder,12,Barranquilla,Fijo,Remoto,Salud,Profesional,23340000.0
Desarrollador Frontend,Líder,12,Medellín,Fijo,Híbrido,Retail,Técnico,15780000.0
Diseñador UI/UX,Senior,7,Barranquilla,Fijo,Presencial,Finanzas,Técnico,11190000.0
Arquitecto Cloud,Semi-Senior,3,Bogotá,Prestación de servicios,Híbrido,Manufactura,Profesional,5510000.0
Diseñador UI/UX,Junior,0,Bucaramanga,Indefinido,Remoto,Educación,Profesional,1650000.0
DevOps,Junior,0,Barranquilla,Indefinido,Presencial,Tecnología,Profesional,2890000.0
DevOps,Semi-Senior,5,Bucaramanga,Fijo,Híbrido,Educación,Especialización,4670000.0
Analista QA,Senior,6,Medellín,Fijo,Remoto,Salud,Profesional,8930000.0
Desarrollador Frontend,Senior,6,Medellín,Prestación de servicios,Híbrido,Tecnología,Maestría,17800000.0
Diseñador UI/UX,Líder,14,Medellín,Indefinido,Presencial,Salud,Maestría,32390000.0
Desarrollador Frontend,Semi-Senior,4,Barranquilla,Indefinido,Remoto,Educación,Especialización,5880000.0
Arquitecto Cloud,Junior,1,Cali,Indefinido,Remoto,Salud,Especialización,4050000.0
DevOps,Semi-Senior,2,Cali,Fijo,Presencial,Tecnología,Profesional,6340000.0
Científico de Datos,Semi-Senior,3,Cali,Indefinido,Presencial,Salud,Profesional,4750000.0
Analista QA,Semi-Senior,2,Cali,Indefinido,Remoto,Educación,Técnico,3280000.0
Arquitecto Cloud,Líder,10,Bogotá,Prestación de servicios,Híbrido,Tecnología,Especialización,28880000.0
Diseñador UI/UX,Líder,14,Bucaramanga,Indefinido,Presencial,Educación,Especialización,15570000.0
Arquitecto Cloud,Junior,1,Barranquilla,Indefinido,Híbrido,Educación,Especialización,2740000.0
Desarrollador Backend,Junior,0,Bogotá,Prestación de servicios,Remoto,Salud,Profesional,3190000.0
Científico de Datos,Senior,9,Bucaramanga,Prestación de servicios,Remoto,Salud,Especialización,15910000.0
Analista QA,Líder,12,Bogotá,Prestación de servicios,Remoto,Educación,Profesional,23120000.0
Gerente de TI,Líder,8,Medellín,Fijo,Remoto,Educación,Profesional,16340000.0
Gerente de TI,Semi-Senior,2,Medellín,Indefinido,Híbrido,Retail,Profesional,4840000.0
DevOps,Senior,9,Bogotá,Fijo,Remoto,Tecnología,Técnico,12030000.0
Desarrollador Frontend,Líder,13,Barranquilla,Prestación de servicios,Presencial,Educación,Maestría,16070000.0
Científico de Datos,Senior,7,Bucaramanga,Indefinido,Híbrido,Salud,Profesional,10930000.0
Científico de Datos,Líder,11,Bucaramanga,Prestación de servicios,Remoto,Tecnología,Especialización,25440000.0
Gerente de TI,Líder,8,Bogotá,Indefinido,Híbrido,Educación,Profesional,16340000.0
Científico de Datos,Líder,12,Bucaramanga,Indefinido,Presencial,Educación,Maestría,19150000.0
Analista QA,Líder,10,Cali,Indefinido,Híbrido,Tecnología,Técnico,17360000.0
DevOps,Senior,5,Bucaramanga,Fijo,Híbrido,Retail,Maestría,11660000.0
Científico de Datos,Líder,13,Barranquilla,Indefinido,Híbrido,Salud,Maestría,27990000.0
Científico de Datos,Líder,9,Barranquilla,Fijo,Remoto,Tecnología,Maestría,23300000.0
Desarrollador Frontend,Junior,0,Bucaramanga,Fijo,Presencial,Educación,Profesional,1830000.0
Científico de Datos,Senior,9,Bogotá,Fijo,Híbrido,Manufactura,Profesional,11040000.0
Diseñador UI/UX,Junior,1,Bogotá,Fijo,Presencial,Tecnología,Especialización,4670000.0
